temps,T,V,E;
0,6.68891e+07,-1.6522,6.68891e+07;
0.1,6.68891e+07,-1.6522,6.68891e+07;
0.2,6.68891e+07,-1.6522,6.68891e+07;
0.3,6.68891e+07,-1.6522,6.68891e+07;
0.4,6.68891e+07,-1.6522,6.68891e+07;
0.5,6.68891e+07,-1.6522,6.68891e+07;
0.6,6.68891e+07,-1.6522,6.68891e+07;
0.7,6.68891e+07,-1.6522,6.68891e+07;
0.8,6.68891e+07,-1.6522,6.68891e+07;
0.9,6.68891e+07,-1.6522,6.68891e+07;
1,6.68891e+07,-1.6522,6.68891e+07;
1.1,6.68891e+07,-1.6522,6.68891e+07;
1.2,6.68891e+07,-1.6522,6.68891e+07;
1.3,6.68891e+07,-1.6522,6.68891e+07;
1.4,6.68891e+07,-1.6522,6.68891e+07;
1.5,6.68891e+07,-1.6522,6.68891e+07;
1.6,6.68891e+07,-1.6522,6.68891e+07;
1.7,6.68891e+07,-1.6522,6.68891e+07;
1.8,6.68891e+07,-1.6522,6.68891e+07;
1.9,6.68891e+07,-1.6522,6.68891e+07;
2,6.68891e+07,-1.6522,6.68891e+07;
2.1,6.68891e+07,-1.6522,6.68891e+07;
2.2,6.68891e+07,-1.6522,6.68891e+07;
2.3,6.68891e+07,-1.6522,6.68891e+07;
2.4,6.68891e+07,-1.6522,6.68891e+07;
2.5,6.68891e+07,-1.6522,6.68891e+07;
2.6,6.68891e+07,-1.6522,6.68891e+07;
2.7,6.68891e+07,-1.6522,6.68891e+07;
2.8,6.68891e+07,-1.6522,6.68891e+07;
2.9,6.68891e+07,-1.6522,6.68891e+07;
3,6.68891e+07,-1.6522,6.68891e+07;
3.1,6.68891e+07,-1.6522,6.68891e+07;
3.2,6.68891e+07,-1.6522,6.68891e+07;
3.3,6.68891e+07,-1.6522,6.68891e+07;
3.4,6.68891e+07,-1.6522,6.68891e+07;
3.5,6.68891e+07,-1.6522,6.68891e+07;
3.6,6.68891e+07,-1.6522,6.68891e+07;
3.7,6.68891e+07,-1.6522,6.68891e+07;
3.8,6.68891e+07,-1.6522,6.68891e+07;
3.9,6.68891e+07,-1.6522,6.68891e+07;
4,6.68891e+07,-1.6522,6.68891e+07;
4.1,6.68891e+07,-1.6522,6.68891e+07;
4.2,6.68891e+07,-1.6522,6.68891e+07;
4.3,6.68891e+07,-1.6522,6.68891e+07;
4.4,6.68891e+07,-1.6522,6.68891e+07;
4.5,6.68891e+07,-1.6522,6.68891e+07;
4.6,6.68891e+07,-1.6522,6.68891e+07;
4.7,6.68891e+07,-1.6522,6.68891e+07;
4.8,6.68891e+07,-1.6522,6.68891e+07;
4.9,6.68891e+07,-1.6522,6.68891e+07;
5,6.68891e+07,-1.6522,6.68891e+07;
5.1,6.68891e+07,-1.6522,6.68891e+07;
5.2,6.68891e+07,-1.6522,6.68891e+07;
5.3,6.68891e+07,-1.6522,6.68891e+07;
5.4,6.68891e+07,-1.6522,6.68891e+07;
5.5,6.68891e+07,-1.6522,6.68891e+07;
5.6,6.68891e+07,-1.6522,6.68891e+07;
5.7,6.68891e+07,-1.6522,6.68891e+07;
5.8,6.68891e+07,-1.6522,6.68891e+07;
5.9,6.68891e+07,-1.6522,6.68891e+07;
6,6.68891e+07,-1.6522,6.68891e+07;
6.1,6.68891e+07,-1.6522,6.68891e+07;
6.2,6.68891e+07,-1.6522,6.68891e+07;
6.3,6.68891e+07,-1.6522,6.68891e+07;
6.4,6.68891e+07,-1.6522,6.68891e+07;
6.5,6.68891e+07,-1.6522,6.68891e+07;
6.6,6.68891e+07,-1.6522,6.68891e+07;
6.7,6.68891e+07,-1.6522,6.68891e+07;
6.8,6.68891e+07,-1.6522,6.68891e+07;
6.9,6.68891e+07,-1.6522,6.68891e+07;
7,6.68891e+07,-1.6522,6.68891e+07;
7.1,6.68891e+07,-1.6522,6.68891e+07;
7.2,6.68891e+07,-1.6522,6.68891e+07;
7.3,6.68891e+07,-1.6522,6.68891e+07;
7.4,6.68891e+07,-1.6522,6.68891e+07;
7.5,6.68891e+07,-1.6522,6.68891e+07;
7.6,6.68891e+07,-1.6522,6.68891e+07;
7.7,6.68891e+07,-1.6522,6.68891e+07;
7.8,6.68891e+07,-1.6522,6.68891e+07;
7.9,6.68891e+07,-1.6522,6.68891e+07;
8,6.68891e+07,-1.6522,6.68891e+07;
8.1,6.68891e+07,-1.6522,6.68891e+07;
8.2,6.68891e+07,-1.6522,6.68891e+07;
8.3,6.68891e+07,-1.6522,6.68891e+07;
8.4,6.68891e+07,-1.6522,6.68891e+07;
8.5,6.68891e+07,-1.6522,6.68891e+07;
8.6,6.68891e+07,-1.6522,6.68891e+07;
8.7,6.68891e+07,-1.6522,6.68891e+07;
8.8,6.68891e+07,-1.6522,6.68891e+07;
8.9,6.68891e+07,-1.6522,6.68891e+07;
9,6.68891e+07,-1.6522,6.68891e+07;
9.1,6.68891e+07,-1.6522,6.68891e+07;
9.2,6.68891e+07,-1.6522,6.68891e+07;
9.3,6.68891e+07,-1.6522,6.68891e+07;
9.4,6.68891e+07,-1.6522,6.68891e+07;
9.5,6.68891e+07,-1.6522,6.68891e+07;
9.6,6.68891e+07,-1.6522,6.68891e+07;
9.7,6.68891e+07,-1.6522,6.68891e+07;
9.8,6.68891e+07,-1.6522,6.68891e+07;
9.9,6.68891e+07,-1.6522,6.68891e+07;
10,6.68891e+07,-1.6522,6.68891e+07;
